trial_id,publication_doi,registry_id,population_adult,icu_setting,design_superiority,randomization_unit,primary_outcome_label,primary_outcome_timepoint,adverse_event_direction,p0_assumed,p1_assumed,effect_assumed_scale,effect_assumed_value,target_analyzable_n,target_randomized_n,attrition_allowance,target_power,alpha,tail,allocation_ratio,actual_randomized_n,actual_primary_analysis_n,n0_observed,x0_observed,n1_observed,x1_observed,effect_observed_value,negative_primary,recruitment_shortfall,design_recalculation_status,cer_error_pp,counterfactual_mde_scale,counterfactual_mde_value,mde_to_assumed_effect_ratio,control_event_rate_compromised,agent_disagreement_status
PMID30357270,10.1001/jama.2018.14282,NCT02739451,yes,adult immunocompromised patients with acute hypoxemic respiratory failure in 32 ICUs in France,yes,individual,all-cause day-28 mortality,28 days,higher_worse,,,,,,778,,,,,1:1,778,776,388,140,388,138,0.005154639175257714,yes,no,partial,,,,,unclear,resolved
PMID30346225,10.1056/NEJMoa1811687,NCT02306746,yes,adults undergoing mechanical ventilation in 46 Australian and New Zealand ICUs,yes,individual,all-cause mortality within 90 days,90 days,higher_worse,,,,,,4000,,,,,1:1,4000,3957,1966,505,1948,523,1.05,yes,no,partial,,,,,unclear,resolved
PMID30304656,10.1056/NEJMoa1803213,NCT01682590,yes,ICU patients with septic shock and severe acute kidney injury (RIFLE failure stage),yes,individual,death at 90 days,90 days,higher_worse,,,,,,710,,,,,1:1,488,477,238,128,239,138,-0.03959073169016558,yes,yes,partial,,,,,unclear,resolved
PMID30304428,10.1001/jama.2018.14618,NCT01046669,yes,adult critically ill patients with septic shock and endotoxin activity assay >=0.60 at 55 tertiary hospitals in North America,yes,individual,mortality at 28 days among all patients randomized,28 days,higher_worse,,,,,,,,,,,1:1,450,449,226,78,223,84,1.09,yes,unclear,partial,,,,,unclear,resolved
PMID30261905,10.1186/s13054-018-2167-x,UMIN R000007633,yes,mechanically ventilated sepsis patients in ICU,yes,individual,infectious complications (enteritis; VAP; bacteremia),within 4 weeks from admission (28 days),higher_worse,0.30,0.10,absolute_difference,0.20,124,136,0.10,0.80,0.05,two_sided,1:1,77,72,37,25,35,10,0.38996138996139,no,yes,reproduced,-37.5675675675676,absolute_difference,0.247867333822179,1.2393366691109,no,resolved
PMID29976233,10.1186/s13054-018-2092-z,ChiCTR-IPR-16008485,yes,elderly patients (age >= 75 years) on mechanical ventilation in ICU,yes,individual,ventilator-associated pneumonia (VAP) rate,duration of mechanical ventilation,higher_worse,0.38,0.19,absolute_difference,0.19,140,140,,0.80,0.05,one_sided,1:1,141,141,71,18,70,8,0.139235412474849,no,no,reproduced,12.6478873239437,absolute_difference,0.158285629756894,0.833082261878392,no,resolved
PMID29971593,10.1007/s00134-018-5267-9,NCT01697410,yes,septic shock patients in 21 ICUs (China),yes,individual,28-day mortality (death from any cause),28 days after start of infusion,higher_worse,,,,,,1000,,,,,1:1,617,526,266,,260,,0.02,yes,yes,partial,,,,,unclear,resolved
PMID29910040,10.1016/S0140-6736(18)31080-8,NCT02476253,yes,adult ICU patients with severe metabolic acidaemia (26 ICUs France),yes,individual,composite of death from any cause by day 28 and presence of at least one organ failure at day 7,day 28 mortality and/or organ failure at day 7,higher_worse,,,,,,400,,,,,1:1,389,389,194,138,195,128,0.054929949775311,yes,no,partial,,,,,unclear,resolved
PMID29792232,10.1186/s13054-018-2055-4,NCT01946269,yes,postoperative ICU after high-risk cancer surgery (single-center tertiary oncology hospital),yes,individual,composite endpoint of 30-day all-cause mortality and severe postoperative complications during hospital stay,30 days (mortality) and hospital stay (severe complications),higher_worse,0.56,0.28,absolute_difference,0.28,128,128,,0.9,0.05,two_sided,1:1,128,128,64,28,64,34,-0.09375,yes,no,reproduced,12.25,absolute_difference,0.260166839058881,0.929167282353147,no,resolved
PMID28857848,10.1097/CCM.0000000000002695,,yes,postcardiac surgery ICU,yes,individual,clinical cure,day 7 of treatment,higher_better,,,,,,,,,,,not_reported,133,133,,,,,,unclear,unclear,partial,,,,,unclear,resolved
PMID29128300,10.1016/S0140-6736(17)32146-3,NCT01802099,yes,44 French ICUs; adults on invasive mechanical ventilation and vasopressor support for shock,yes,individual,mortality,day 28 after randomisation,higher_worse,,,,,,2854,,,,,1:1,2410,2410,1208,422,1202,443,-0.01921466430122,yes,yes,partial,,,,,unclear,resolved
PMID29089038,10.1186/s13054-017-1862-3,NCT01017796,unclear,ICU University Hospital of Larissa (12 beds),yes,individual,incidence of contrast-induced nephropathy (CIN; >=25% relative increase in serum creatinine from baseline within 5 days),within 5 days after radiocontrast,higher_worse,0.5,0.25,RRR,0.5,116,116,,0.8,0.05,two_sided,1:1,124,124,64,10,60,11,-0.173333333333333,yes,no,reproduced,34.375,RRR,0.917162425074081,1.83432485014816,yes,resolved
PMID28973363,10.1001/jama.2017.14171,NCT01374022,yes,120 ICUs in 9 countries; adults with moderate to severe ARDS on mechanical ventilation,yes,individual,all-cause mortality until 28 days,28 days,higher_worse,,,,,,1620,,,,,1:1,1010,1010,509,251,501,277,1.20,no,yes,partial,,,,,unclear,resolved
PMID28952891,10.1056/NEJMoa1707572,NCT01638416,yes,59 centers in 5 countries; critically ill adults in ICU receiving RBC transfusion,yes,individual,90-day mortality,90 days,higher_worse,,,,,,5000,,,,,1:1,4994,4919,2462,594,2457,610,0.007,yes,no,partial,,,,,unclear,resolved
PMID28936675,10.1007/s00134-017-4911-0,NCT01915563,yes,17 Spanish medical-surgical ICUs; critically ill adults on MV >12 h after successful SBT,yes,individual,reintubation within 48 h,48 hours after extubation,higher_worse,,,,,,450,,,,,1:1,470,470,243,35,227,12,0.33,no,no,partial,,,,,unclear,resolved
PMID28742911,10.1001/jama.2017.8978,NCT01689077,yes,10 ICUs at 10 university hospitals in 6 European countries; unconscious adults after OHCA,yes,individual,favorable neurologic outcome (CPC score 1 or 2),6 months,higher_better,,,,,,340,,,,,1:1,355,351,176,112,175,120,1.08,yes,no,partial,,,,,unclear,resolved
PMID29149418,10.1007/s00134-017-4858-1,NCT01138540,yes,invasively ventilated critically ill patients (multicenter ICU),yes,individual,Incidence of microbiologically confirmed ventilator-associated pneumonia,within the first 14 days of intubation / 14 days of mechanical ventilation,higher_worse,,,,,,800,,,,,1:1,395,395,201,8,194,1,0.13,yes,yes,partial,,,,,unclear,resolved
PMID28599662,10.1186/s13054-017-1730-1,NCT01581957,yes,single-center ICU (adult patients expected ICU stay ≥5 days; tube feeding ≥3 days),yes,individual,Diarrhea-free days and number of diarrhea events per day during enteral nutrition administration in the ICU,from EN start until end of treatment or ICU discharge (up to 10 days),higher_worse,,,,,,90,,,,,1:1,90,90,,,,,,yes,no,partial,,,,,unclear,resolved
PMID28240687,10.1097/CCM.0000000000002283,,yes,teaching hospital ICU; adult cancer patients with septic shock in first 6 hours of ICU admission,yes,individual,28-day mortality after randomization,28 days after randomization,higher_worse,,,,,,,,,,,1:1,300,300,149,67,151,84,,yes,unclear,partial,,,,,unclear,resolved
PMID28393258,10.1007/s00134-017-4785-1,NCT01047852,yes,mechanically ventilated ICU patients with chronic respiratory disorders (multicenter),yes,individual,Incidence of respiratory failure after extubation,within 48 h after extubation (registry timeFrame 2 days),higher_worse,,,,,,144,,,,,1:1,144,143,72,20,71,6,,no,no,partial,,,,,unclear,resolved
PMID28322414,10.1001/jama.2017.2088,NCT01760967,yes,8 ICUs in Japan; adult sepsis requiring mechanical ventilation ≥24 h,yes,individual,28-day mortality (co-primary with ventilator-free days),28 days,higher_worse,,,,,,200,,,,,1:1,201,201,101,28,100,19,0.0872277227722773,yes,no,partial,,,,,unclear,resolved
PMID28181941,10.1097/CCM.0000000000002267,,yes,3 French ICUs; critically ill adults receiving intravascular contrast media,yes,individual,Contrast-associated acute kidney injury (AKIN criteria),72 hours after contrast exposure,higher_worse,,,,,,,,,,,1:1,307,307,156,52,151,53,-0.0176600441501104,yes,unclear,partial,,,,,unclear,resolved
PMID28320259,10.1056/NEJMoa1616325,NCT00994825,yes,cardiac surgery perioperative ICU hemodynamic support (CHEETAH),yes,individual,30-day mortality,30 days,higher_worse,,,,,,1000,,,,,1:1,506,506,258,33,248,32,-0.0011252813203301,yes,yes,partial,,,,,unclear,resolved
PMID28081952,10.1016/S0140-6736(16)32410-2,NCT00784134,yes,ICU with routinely placed extraventricular drain for IVH (CLEAR III multiregion),yes,individual,Good functional outcome mRS ≤3 (dichotomized),180 days,higher_better,,,,,,500,,,,,1:1,500,491,245,110,246,117,0.0266301642608263,yes,no,partial,,,,,unclear,resolved
PMID27695824,10.1001/jama.2016.14799,NCT00670254,yes,"34 intermediate or intensive care units, Germany",yes,individual,development of septic shock,14 days,higher_worse,,,,,,380,,,,,1:1,380,340,170,39,170,36,0.01764706,yes,no,partial,,,,,unclear,resolved
PMID27706483,10.1001/jama.2016.14655,NCT01773876,yes,19 French ICUs; ICU-acquired sepsis with Candida colonization and multiple organ failure,yes,individual,survival without proven invasive fungal infection (IFI),28 days,higher_better,,,,,,260,,,,,1:1,260,251,123,79,128,82,-0.00165142,yes,no,partial,,,,,unclear,resolved
PMID27706466,10.1001/jama.2016.11993,NCT01319643,yes,"single-center medical-surgical ICU, Modena University Hospital, Italy",yes,individual,ICU mortality,during ICU stay,higher_worse,,,,,,660,,,,,1:1,480,434,218,44,216,25,0.08609412,no,yes,partial,,,,,unclear,resolved
PMID27745551,10.1186/s13054-016-1504-1,NCT00870883,yes,"general ICU, Sao Jose Hospital academic center, Criciuma, Brazil",yes,individual,incidence of acute kidney injury (AKI; KDIGO new or worsening stage),28 days,higher_worse,0.6,0.4,absolute_difference,0.2,140,140,,0.8,0.05,two_sided,1:1,80,80,40,27,40,26,0.025,yes,yes,failed,-7.5,,,,unclear,resolved
PMID27635481,10.1097/CCM.0000000000001819,,yes,university-affiliated mixed medical-surgical ICU,unclear,individual,clinically significant gastrointestinal bleeding,ICU course / not further specified in abstract,higher_worse,,,,,,,,,,,unclear,214,214,,,,,,unclear,unclear,partial,,,,,unclear,resolved
PMID27428384,10.1097/CCM.0000000000001820,,yes,24-bed surgical ICU at quaternary academic medical center,yes,individual,"composite hospital-acquired infection (CAUTI, VAP, incisional SSI, primary BSI)",up to 28 days of surgical ICU bathing protocol,higher_worse,,,,,,,,,,,unclear,350,325,164,,161,,,no,unclear,partial,,,,,unclear,resolved
PMID27654700,10.1186/s13054-016-1480-5,ChiCTR-IPR-16008231,yes,ICU after cardiac surgery with CPB,yes,individual,new-onset postoperative atrial fibrillation,within 96 h of surgery,higher_worse,0.35,0.10,absolute_difference,0.25,80,90,0.10,0.80,0.05,two_sided,1:1,90,88,44,16,44,6,0.227272727,no,no,failed,-1.363636,,,,unclear,resolved
PMID27542303,10.1016/S0140-6736(16)30580-3,ChiCTR-TRC-10000802,yes,ICU after non-cardiac surgery (two tertiary-care hospitals),yes,individual,postoperative delirium (CAM-ICU),first 7 postoperative days,higher_worse,,,,,,,,,,,1:1,700,700,350,79,350,32,0.134285714,no,unclear,partial,,,,,unclear,resolved
PMID27344436,10.1007/s00134-016-4405-5,,yes,adult severe sepsis/septic shock ICU (IRCCS San Raffaele),yes,individual,composite of prolonged ICU stay and/or 30-day mortality,30 days (composite primary; follow-up also at 90 days),higher_worse,,,,,,,,,,unclear,unclear,37,37,18,12,19,15,-0.122807,yes,unclear,partial,,,,,unclear,resolved
PMID27179847,10.1001/jama.2016.6338,NCT01680783,yes,medical ICU University of Chicago (adult ARDS requiring face-mask NIV),yes,individual,proportion of patients who required endotracheal intubation,during hospitalization up to 6 weeks (registry primary time frame),higher_worse,,,,,,206,,,,unclear,1:1,83,83,39,24,44,8,0.433566,no,yes,partial,,,,,unclear,resolved
